,index,x_cord,y_cord,del_time
599,599,39,13,0.4611015319824219
600,600,38,17,0.4611015319824219
601,601,38,13,0.4611015319824219
602,602,40,13,0.4611015319824219
603,603,42,11,0.4611015319824219
604,604,42,9,0.4611015319824219
605,605,29,37,0.4611015319824219
606,606,41,45,0.4611015319824219
607,607,42,41,0.4611015319824219
608,608,40,39,0.4611015319824219
609,609,40,46,0.4611015319824219
610,610,42,44,0.4611015319824219
611,611,42,46,0.4611015319824219
612,612,42,41,0.4611015319824219
613,613,42,40,0.4611015319824219
614,614,43,36,0.4611015319824219
615,615,47,35,0.4611015319824219
616,616,51,25,0.4611015319824219
617,617,51,19,0.4611015319824219
618,618,45,15,0.4611015319824219
619,619,43,14,0.4611015319824219
620,620,40,15,0.4611015319824219
621,621,38,17,0.4611015319824219
622,622,42,15,0.4611015319824219
623,623,42,13,0.4611015319824219
624,624,43,15,0.4611015319824219
625,625,45,16,0.4611015319824219
626,626,51,18,0.4611015319824219
627,627,54,17,0.4611015319824219
628,628,55,20,0.4611015319824219
629,629,54,26,0.4611015319824219
630,630,56,24,0.4611015319824219
631,631,55,27,0.4611015319824219
632,632,54,33,0.4611015319824219
633,633,44,39,0.4611015319824219
634,634,42,37,0.4611015319824219
635,635,43,41,0.4611015319824219
636,636,42,46,0.4611015319824219
637,637,42,43,0.4611015319824219
638,638,44,41,0.4611015319824219
639,639,44,43,0.4611015319824219
640,640,42,42,0.4611015319824219
641,641,57,45,0.4611015319824219
642,642,63,28,0.4611015319824219
643,643,49,13,0.4611015319824219
644,644,43,10,0.4611015319824219
645,645,41,12,0.4611015319824219
646,646,40,13,0.4611015319824219
647,647,39,13,0.4611015319824219
648,648,40,13,0.4611015319824219
649,649,40,13,0.4611015319824219
650,650,40,14,0.4611015319824219
651,651,43,16,0.4611015319824219
652,652,54,21,0.4611015319824219
653,653,55,26,0.4611015319824219
654,654,47,34,0.4611015319824219
655,655,44,41,0.4611015319824219
656,656,42,36,0.4611015319824219
657,657,42,45,0.4611015319824219
658,658,41,37,0.4611015319824219
659,659,41,42,0.4611015319824219
660,660,41,44,0.4611015319824219
661,661,40,43,0.4611015319824219
662,662,41,43,0.4611015319824219
663,663,41,40,0.4611015319824219
664,664,37,50,0.4611015319824219
665,665,62,52,0.4611015319824219
666,666,41,9,0.4611015319824219
667,667,42,10,0.4611015319824219
668,668,41,12,0.4611015319824219
669,669,41,12,0.4611015319824219
670,670,40,9,0.4611015319824219
671,671,39,13,0.4611015319824219
672,672,39,13,0.4611015319824219
673,673,41,13,0.4611015319824219
674,674,40,12,0.4611015319824219
675,675,43,13,0.4611015319824219
676,676,54,15,0.4611015319824219
677,677,56,21,0.4611015319824219
678,678,56,31,0.4611015319824219
679,679,42,33,0.4611015319824219
680,680,46,35,0.4611015319824219
681,681,45,35,0.4611015319824219
682,682,46,35,0.4611015319824219
683,683,44,34,0.4611015319824219
684,684,48,33,0.4611015319824219
685,685,46,34,0.4611015319824219
686,686,45,32,0.4611015319824219
687,687,45,35,0.4611015319824219
688,688,42,37,0.4611015319824219
689,689,43,40,0.4611015319824219
690,690,29,43,0.4611015319824219
691,691,25,29,0.4611015319824219
692,692,23,22,0.4611015319824219
693,693,23,25,0.4611015319824219
694,694,45,28,0.4611015319824219
695,695,27,11,0.4611015319824219
696,696,27,13,0.4611015319824219
697,697,41,9,0.4611015319824219
698,698,40,9,0.4611015319824219
699,699,41,9,0.4611015319824219
700,700,39,9,0.4611015319824219
701,701,40,9,0.4611015319824219
702,702,41,15,0.4611015319824219
703,703,45,16,0.4611015319824219
704,704,53,19,0.4611015319824219
705,705,54,23,0.4611015319824219
706,706,56,31,0.4611015319824219
707,707,46,33,0.4611015319824219
708,708,45,33,0.4611015319824219
709,709,44,35,0.4611015319824219
710,710,44,36,0.4611015319824219
711,711,44,37,0.4611015319824219
712,712,43,34,0.4611015319824219
713,713,44,36,0.4611015319824219
714,714,44,43,0.4611015319824219
715,715,39,42,0.4611015319824219
716,716,51,30,0.4611015319824219
717,717,44,11,0.4611015319824219
718,718,42,10,0.4611015319824219
719,719,41,8,0.4611015319824219
720,720,41,9,0.4611015319824219
721,721,38,9,0.4611015319824219
722,722,40,11,0.4611015319824219
723,723,37,9,0.4611015319824219
724,724,37,10,0.4611015319824219
725,725,27,17,0.4611015319824219
726,726,24,28,0.4611015319824219
727,727,25,27,0.4611015319824219
728,728,25,29,0.4611015319824219
729,729,43,40,0.4611015319824219
730,730,42,40,0.4611015319824219
731,731,43,40,0.4611015319824219
732,732,44,32,0.4611015319824219
733,733,50,34,0.4611015319824219
734,734,55,32,0.4611015319824219
735,735,55,26,0.4611015319824219
736,736,56,23,0.4611015319824219
737,737,55,23,0.4611015319824219
